"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"SEAC","SeaChange International, Inc.","2.49","87665571.93","n/a","1996","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/seac",
"SBCF","Seacoast Banking Corporation of Florida","23.7","901076678.1","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sbcf",
"STX","Seagate Technology PLC","47.14","13914637840.36","n/a","2002","Technology","Electronic Components","http://www.nasdaq.com/symbol/stx",
"SHIP","Seanergy Maritime Holdings Corp","1.1","35199351","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/ship",
"SHIPW","Seanergy Maritime Holdings Corp","0.2354","0","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/shipw",
"SRSC","Sears Canada Inc. ","1.5499","157900188.3338","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/srsc",
"SHLD","Sears Holdings Corporation","7.54","807030720.08","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/shld",
"SHLDW","Sears Holdings Corporation","2.411","0","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/shldw",
"SHOS","Sears Hometown and Outlet Stores, Inc.","3.9","88592914.8","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/shos",
"SPNE","SeaSpine Holdings Corporation","6.86","76868234.52","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/spne",
"SGEN","Seattle Genetics, Inc.","65.5","9271698313","n/a","2001","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/sgen",
"EYES","Second Sight Medical Products, Inc.","1.85","78156864.9","n/a","2014","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/eyes",
"SCWX","SecureWorks Corp.","10.71","863988005.79","n/a","2016","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/scwx",
"SNFCA","Security National Financial Corporation","7.05","110006169.6","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/snfca",
"SEIC","SEI Investments Company","50.49","8029475190","n/a","1981","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/seic",
"SLCT","Select Bancorp, Inc.","10.98","127866634.74","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/slct",
"SCSS","Select Comfort Corporation","22.87","996423030","n/a","1998","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/scss",
"SIR","Select Income REIT","25.74","2301900194.88","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/sir",
"SELB","Selecta Biosciences, Inc.","13.89","252661600.2","n/a","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/selb",
"SIGI","Selective Insurance Group, Inc.","43.55","2524471516.45","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/sigi",
"LEDS","SemiLEDS Corporation","3.3","11607057","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/leds",
"SMTC","Semtech Corporation","34.9","2290725471.7","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/smtc",
"SENEA","Seneca Foods Corp.","37.35","364498687.35","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/senea",
"SENEB","Seneca Foods Corp.","39.5","385480539.5","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/seneb",
"SNES","SenesTech, Inc.","8.06","81636403.16","n/a","2016","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/snes",
"SNH","Senior Housing Properties Trust","19.695","4678469297.19","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/snh",
"SNHNI","Senior Housing Properties Trust","23.81","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/snhni",
"SNHNL","Senior Housing Properties Trust","25.79","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/snhnl",
"SNMX","Senomyx, Inc.","1.16","52204970.6","n/a","2004","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/snmx",
"SRTS","Sensus Healthcare, Inc.","4.664","63179341.544","n/a","2016","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/srts",
"SRTSW","Sensus Healthcare, Inc.","0.8973","0","n/a","2016","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/srtsw",
